Name,About,Course Description,title_tokens,about_tokens,description_tokens
Foundations of Data Structures,Learn the best way to structure and represent data.,"Data structures provide a means to manage large amounts of data for use in databases and internet indexing services. Efficient data structures are key for designing efficient algorithms and obtaining maintainable software design.In this Computer Science course, you will start by learning basic data types, such as numbers, and gradually build a conceptual framework for organizing and managing efficient structures.Topics covered:Preliminary understanding of implementing sequence structures such as stacks, queues, and linked lists, will also be covered.This course is part of the Fundamentals of Computer Science XSeries Program: Computer Science","['foundation', 'data', 'structure']","['learn', 'best', 'way', 'structure', 'represent', 'data']","['data', 'structure', 'provide', 'mean', 'manage', 'large', 'amount', 'data', 'use', 'database', 'internet', 'indexing', 'service', 'efficient', 'data', 'structure', 'key', 'designing', 'efficient', 'algorithm', 'obtaining', 'maintainable', 'software', 'designin', 'computer', 'science', 'course', 'start', 'learning', 'basic', 'data', 'type', 'number', 'gradually', 'build', 'conceptual', 'framework', 'organizing', 'managing', 'efficient', 'structurestopics', 'coveredpreliminary', 'understanding', 'implementing', 'sequence', 'structure', 'stack', 'queue', 'linked', 'list', 'also', 'coveredthis', 'course', 'part', 'fundamental', 'computer', 'science', 'xseries', 'program', 'computer', 'science']"
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis","A course on the macroeconomic accounts, their interrelationships, and the analysis of economic developments.","How healthy is the state of the economy? How can economic policy help support or restore health to the economy? These questions are at the heart of financial programming. In our FPP courses you will learn the building blocks of how to answer to these questions.Financial programming is a framework to analyze the current state of the economy, forecast where the economy is headed, and identify economic policies that can change the course of the economy.In Part 1 of the FPP sequence, presented by IMF's Institute for Capacity Development, you will learn the basic skills required to conduct financial programming. The course presents the principal features of the four main sectors that comprise the macroeconomy (real, fiscal, external, and monetary); demonstrates how to read, interpret, and analyze the accounts for these sectors; and illustrates how these sectors are interlinked. (Part 2 of the FPP sequence will cover preparation of a baseline forecast and design of an adjustment program.)During the course, economists from the IMF will lead you through the accounts and analysis of an economy. Besides engaging with lecture videos, you will answer questions on the concepts explained, solve short numerical exercises, discuss with fellow participants economic developments in your country, and work with data for a hypothetical country. The reading material will be provided to you.Whether you are a civil servant working on economic issues for your country, a professional working with economic data, or simply interested in better understanding the developments of an economy, this course will provide hands-on training on macroeconomic analysis. We hope that you will join us in this exciting journey!Financial Programming and Policies, Part 1 is offered by the IMF with financial support from the Government of Japan. Economics & Finance","['financial', 'programming', 'policy', 'part', 'macroeconomic', 'account', 'analysis']","['course', 'macroeconomic', 'account', 'interrelationship', 'analysis', 'economic', 'development']","['healthy', 'state', 'economy', 'economic', 'policy', 'help', 'support', 'restore', 'health', 'economy', 'question', 'heart', 'financial', 'programming', 'fpp', 'course', 'learn', 'building', 'block', 'answer', 'questionsfinancial', 'programming', 'framework', 'analyze', 'current', 'state', 'economy', 'forecast', 'economy', 'headed', 'identify', 'economic', 'policy', 'change', 'course', 'economyin', 'part', 'fpp', 'sequence', 'presented', 'imf', 'institute', 'capacity', 'development', 'learn', 'basic', 'skill', 'required', 'conduct', 'financial', 'programming', 'course', 'present', 'principal', 'feature', 'four', 'main', 'sector', 'comprise', 'macroeconomy', 'real', 'fiscal', 'external', 'monetary', 'demonstrates', 'read', 'interpret', 'analyze', 'account', 'sector', 'illustrates', 'sector', 'interlinked', 'part', 'fpp', 'sequence', 'cover', 'preparation', 'baseline', 'forecast', 'design', 'adjustment', 'programduring', 'course', 'economist', 'imf', 'lead', 'account', 'analysis', 'economy', 'besides', 'engaging', 'lecture', 'video', 'answer', 'question', 'concept', 'explained', 'solve', 'short', 'numerical', 'exercise', 'discus', 'fellow', 'participant', 'economic', 'development', 'country', 'work', 'data', 'hypothetical', 'country', 'reading', 'material', 'provided', 'youwhether', 'civil', 'servant', 'working', 'economic', 'issue', 'country', 'professional', 'working', 'economic', 'data', 'simply', 'interested', 'better', 'understanding', 'development', 'economy', 'course', 'provide', 'handson', 'training', 'macroeconomic', 'analysis', 'hope', 'join', 'u', 'exciting', 'journeyfinancial', 'programming', 'policy', 'part', 'offered', 'imf', 'financial', 'support', 'government', 'japan', 'economics', 'finance']"
IoT System Design: Software and Hardware Integration,Start developing your own Internet of Things (IoT) systemwith this exploration ofthe interaction between software and hardware.,"This course is designed toteach you how systems are developed using IoT technology. Many engineers and developers tend to focus ona single discipline - either software or hardware. However, in today’s connectedage it's critical to have a comprehensive understanding of both disciplines and how they are intertwined. In this practical course,you'll gain a holistic understanding of system development from both software and hardware perspectives. A truly hands-on experience, you will develop your own embedded system. In doing so, you'll learn as much from your failures as your successes as you go along. Note: In this course, we will use DE10-Nano Development Kit by Terasic Inc. Computer Science","['iot', 'system', 'design', 'software', 'hardware', 'integration']","['start', 'developing', 'internet', 'thing', 'iot', 'systemwith', 'exploration', 'ofthe', 'interaction', 'software', 'hardware']","['course', 'designed', 'toteach', 'system', 'developed', 'using', 'iot', 'technology', 'many', 'engineer', 'developer', 'tend', 'focus', 'ona', 'single', 'discipline', 'either', 'software', 'hardware', 'however', 'today', '’', 'connectedage', 'critical', 'comprehensive', 'understanding', 'discipline', 'intertwined', 'practical', 'courseyoull', 'gain', 'holistic', 'understanding', 'system', 'development', 'software', 'hardware', 'perspective', 'truly', 'handson', 'experience', 'develop', 'embedded', 'system', 'youll', 'learn', 'much', 'failure', 'success', 'go', 'along', 'note', 'course', 'use', 'denano', 'development', 'kit', 'terasic', 'inc', 'computer', 'science']"
English for Doing Business in Asia – Writing,Introducing strategies for developing your written English communication skills in the context of doing business in Asia.,"The use of English for doing business in multinational settings is a fact of life for many business people. And, as Asian economies expand and become more involved in the global economy, having the ability to write clear and concise English is important when exchanging information. This course has two goals. The first is to introduce non-native speakers of English to methods for developing written English language and communication skills for doing business in Asia. The second is to examine the impact of cross-cultural interactions and globalization on English communications. By exploring and participating in a business simulation set in Asia, you will develop the principal skills for effective communication in English when conducting business in China and other Asian countries.This course is part of a series developed by the same instructors. Enroll in EBA101x English for Doing Business in Asia – Speaking to continue developing your English language communication skills. Learn about business presentations, audience, format, pronunciation, rhythm and more. Humanities","['english', 'business', 'asia', '–', 'writing']","['introducing', 'strategy', 'developing', 'written', 'english', 'communication', 'skill', 'context', 'business', 'asia']","['use', 'english', 'business', 'multinational', 'setting', 'fact', 'life', 'many', 'business', 'people', 'asian', 'economy', 'expand', 'become', 'involved', 'global', 'economy', 'ability', 'write', 'clear', 'concise', 'english', 'important', 'exchanging', 'information', 'course', 'two', 'goal', 'first', 'introduce', 'nonnative', 'speaker', 'english', 'method', 'developing', 'written', 'english', 'language', 'communication', 'skill', 'business', 'asia', 'second', 'examine', 'impact', 'crosscultural', 'interaction', 'globalization', 'english', 'communication', 'exploring', 'participating', 'business', 'simulation', 'set', 'asia', 'develop', 'principal', 'skill', 'effective', 'communication', 'english', 'conducting', 'business', 'china', 'asian', 'countriesthis', 'course', 'part', 'series', 'developed', 'instructor', 'enroll', 'ebax', 'english', 'business', 'asia', '–', 'speaking', 'continue', 'developing', 'english', 'language', 'communication', 'skill', 'learn', 'business', 'presentation', 'audience', 'format', 'pronunciation', 'rhythm', 'humanity']"
Working in Teams: A Practical Guide,"Learn how to build effective teams, be a great team player and manage team conflict.","Teamwork is an essential component of most professional activities in the modern world. But what makes an effective team?This course is an introduction to teamwork skills for all disciplines that will help you improve your own performance and that of your team.It covers why teams are important, the roles of individuals in a team, systems and processes for effective teamwork and communication, and methods for addressing team conflict.Throughout the course you will be provided with a range of tools and templates that you will be able to use with any team.Join us and learn how to make teams work for everyone. Humanities","['working', 'team', 'practical', 'guide']","['learn', 'build', 'effective', 'team', 'great', 'team', 'player', 'manage', 'team', 'conflict']","['teamwork', 'essential', 'component', 'professional', 'activity', 'modern', 'world', 'make', 'effective', 'teamthis', 'course', 'introduction', 'teamwork', 'skill', 'discipline', 'help', 'improve', 'performance', 'teamit', 'cover', 'team', 'important', 'role', 'individual', 'team', 'system', 'process', 'effective', 'teamwork', 'communication', 'method', 'addressing', 'team', 'conflictthroughout', 'course', 'provided', 'range', 'tool', 'template', 'able', 'use', 'teamjoin', 'u', 'learn', 'make', 'team', 'work', 'everyone', 'humanity']"
AI Chatbots without Programming,"Chatbots are increasingly in demand among global businesses. This course will teach you how to build, analyze, deploy and monetize chatbots - with the help of IBM Watson and the power of AI.","Special Offer : This course includes a great offer from IBM: One year of Watson Assistant services to power 10 chatbots at no charge. The perfect way to kickstart your chatbot building business!Chatbots are one of the most exciting and in-demand topics in tech. Businesses around the world are increasingly showing an interest in their potential for cost-saving and improving customer service availability.In this course, you'll learn how to build chatbots powered by Watson and how to approach making money by selling chatbots to clients. We'll coverways to sell chatbots to prospective clients online and offline. We'll explore how to plan and build chatbots using a visual tool provided by IBM. We'll offer methods for testing, analyzing, and improving your chatbots. And we'll teach you how to deploy your chatbots to websites via a handy WordPress plugin.Leveraging the AI power of Watson Assistant, you will be able toaccomplish all this without the need to write any code! Computer Science","['ai', 'chatbots', 'without', 'programming']","['chatbots', 'increasingly', 'demand', 'among', 'global', 'business', 'course', 'teach', 'build', 'analyze', 'deploy', 'monetize', 'chatbots', 'help', 'ibm', 'watson', 'power', 'ai']","['special', 'offer', 'course', 'includes', 'great', 'offer', 'ibm', 'one', 'year', 'watson', 'assistant', 'service', 'power', 'chatbots', 'charge', 'perfect', 'way', 'kickstart', 'chatbot', 'building', 'businesschatbots', 'one', 'exciting', 'indemand', 'topic', 'tech', 'business', 'around', 'world', 'increasingly', 'showing', 'interest', 'potential', 'costsaving', 'improving', 'customer', 'service', 'availabilityin', 'course', 'youll', 'learn', 'build', 'chatbots', 'powered', 'watson', 'approach', 'making', 'money', 'selling', 'chatbots', 'client', 'well', 'coverways', 'sell', 'chatbots', 'prospective', 'client', 'online', 'offline', 'well', 'explore', 'plan', 'build', 'chatbots', 'using', 'visual', 'tool', 'provided', 'ibm', 'well', 'offer', 'method', 'testing', 'analyzing', 'improving', 'chatbots', 'well', 'teach', 'deploy', 'chatbots', 'website', 'via', 'handy', 'wordpress', 'pluginleveraging', 'ai', 'power', 'watson', 'assistant', 'able', 'toaccomplish', 'without', 'need', 'write', 'code', 'computer', 'science']"
Just Money: Banking as if Society Mattered,Learn how banks can use capital as a tool to promote social and environmental wellbeing.,"Do you know what your bank does with your money? What is the role of a bank in producing societal well-being?This course looks into banks that operate differently, namely, “just banks"" that use capital and finance as a tool to address social and ecological challenges. This course is for anyone who wants to understand the unique role banks play as intermediaries in our economy and how they can leverage that position to produce positive social, environmental, and economic change.The instructors of this course have worked for over 15 years with just banks from around the world, as well as in the fields of community development, economic democracy, and social change.No previous knowledge of finance or banking is needed to take this course. Business & Management","['money', 'banking', 'society', 'mattered']","['learn', 'bank', 'use', 'capital', 'tool', 'promote', 'social', 'environmental', 'wellbeing']","['know', 'bank', 'money', 'role', 'bank', 'producing', 'societal', 'wellbeingthis', 'course', 'look', 'bank', 'operate', 'differently', 'namely', '“', 'bank', 'use', 'capital', 'finance', 'tool', 'address', 'social', 'ecological', 'challenge', 'course', 'anyone', 'want', 'understand', 'unique', 'role', 'bank', 'play', 'intermediary', 'economy', 'leverage', 'position', 'produce', 'positive', 'social', 'environmental', 'economic', 'changethe', 'instructor', 'course', 'worked', 'year', 'bank', 'around', 'world', 'well', 'field', 'community', 'development', 'economic', 'democracy', 'social', 'changeno', 'previous', 'knowledge', 'finance', 'banking', 'needed', 'take', 'course', 'business', 'management']"
Computing in Python IV: Objects & Algorithms,"Learn about recursion, search and sort algorithms, and object-oriented programming in Python.","Complete your Beginner knowledge of computer science with this final course on objects and algorithms. Now that you've learned about complex control structures and data structures, learn to develop programs that more intuitively leverage your natural understanding of problems through object-oriented programming. Then, learn to analyze the complexity and efficiency of these programs through algorithms. In addition, certify your broader knowledge of Introduction to Computing with a comprehensive exam. By the end of this course, you'll be able to write programs in Python that leverage your more natural understanding of data structures by creating objects to represent the structures you work with most often. For example, if you were creating a class roster application, you'll learn how to create an object representing a student's name, ID number, and attendance record. Then, you'll be able to create applications that leverage sorting and searching algorithms to sort that roster alphabetically, search for a particular student, and evaluate the efficiency of both those operations. Structurally, the course is comprised of several parts. Instruction is delivered via a series of short (2-3 minute) videos. In between those videos, you'll complete both multiple choice questions and coding problems to demonstrate your knowledge of the material that was just covered. These exercises count for 20% of your grade. Then, after each major chapter, you'll complete a problem set of collected, more challenging problems. These count for 40% of your grade. Finally, you'll complete a final course exam, which counts for the remaining 40% of your grade. Computer Science","['computing', 'python', 'iv', 'object', 'algorithm']","['learn', 'recursion', 'search', 'sort', 'algorithm', 'objectoriented', 'programming', 'python']","['complete', 'beginner', 'knowledge', 'computer', 'science', 'final', 'course', 'object', 'algorithm', 'youve', 'learned', 'complex', 'control', 'structure', 'data', 'structure', 'learn', 'develop', 'program', 'intuitively', 'leverage', 'natural', 'understanding', 'problem', 'objectoriented', 'programming', 'learn', 'analyze', 'complexity', 'efficiency', 'program', 'algorithm', 'addition', 'certify', 'broader', 'knowledge', 'introduction', 'computing', 'comprehensive', 'exam', 'end', 'course', 'youll', 'able', 'write', 'program', 'python', 'leverage', 'natural', 'understanding', 'data', 'structure', 'creating', 'object', 'represent', 'structure', 'work', 'often', 'example', 'creating', 'class', 'roster', 'application', 'youll', 'learn', 'create', 'object', 'representing', 'student', 'name', 'id', 'number', 'attendance', 'record', 'youll', 'able', 'create', 'application', 'leverage', 'sorting', 'searching', 'algorithm', 'sort', 'roster', 'alphabetically', 'search', 'particular', 'student', 'evaluate', 'efficiency', 'operation', 'structurally', 'course', 'comprised', 'several', 'part', 'instruction', 'delivered', 'via', 'series', 'short', 'minute', 'video', 'video', 'youll', 'complete', 'multiple', 'choice', 'question', 'coding', 'problem', 'demonstrate', 'knowledge', 'material', 'covered', 'exercise', 'count', 'grade', 'major', 'chapter', 'youll', 'complete', 'problem', 'set', 'collected', 'challenging', 'problem', 'count', 'grade', 'finally', 'youll', 'complete', 'final', 'course', 'exam', 'count', 'remaining', 'grade', 'computer', 'science']"
Teaching Critical Thinking through Art with the National Gallery of Art,"Learn how to integrate works of art using Artful Thinking routines, effective strategies from Project Zero at Harvard University, in this interactive online course for teachers of all levels and subjects.","Based on the National Gallery of Art’s popular Art Around the Corner professional development program for teachers in Washington, D.C., this five-unit online course provides everything you need to begin creating a culture of critical thinking and collaboration for any classroom, subject, or level. You do not need an art background or museum access to successfully integrate the course materials into your teaching. Your willingness to experiment with new teaching practices is all that is required. The strategies presented in this course are adapted from Artful Thinking pedagogy, developed by Project Zero at the Harvard Graduate School of Education. You will explore three thinking dispositions, using eight thinking routines that are easy to understand and implement with STEAM curricular content. Throughout, you will discover the power of art to develop your students’ inclination, motivation, and ability to think deeply. When you enroll, all the resources you need for your classroom to strengthen critical thinking by using art will be immediately available. We recommend spending a few hours learning and practicing each section before progressing to the next. The online course environment features over 20 videos and interactive tools: Participating with a global network of educators who, just like you, want to hone their abilities to teach critical thinking skills and explore arts integration will be an added bonus to your course experience. Education & Teacher Training","['teaching', 'critical', 'thinking', 'art', 'national', 'gallery', 'art']","['learn', 'integrate', 'work', 'art', 'using', 'artful', 'thinking', 'routine', 'effective', 'strategy', 'project', 'zero', 'harvard', 'university', 'interactive', 'online', 'course', 'teacher', 'level', 'subject']","['based', 'national', 'gallery', 'art', '’', 'popular', 'art', 'around', 'corner', 'professional', 'development', 'program', 'teacher', 'washington', 'dc', 'fiveunit', 'online', 'course', 'provides', 'everything', 'need', 'begin', 'creating', 'culture', 'critical', 'thinking', 'collaboration', 'classroom', 'subject', 'level', 'need', 'art', 'background', 'museum', 'access', 'successfully', 'integrate', 'course', 'material', 'teaching', 'willingness', 'experiment', 'new', 'teaching', 'practice', 'required', 'strategy', 'presented', 'course', 'adapted', 'artful', 'thinking', 'pedagogy', 'developed', 'project', 'zero', 'harvard', 'graduate', 'school', 'education', 'explore', 'three', 'thinking', 'disposition', 'using', 'eight', 'thinking', 'routine', 'easy', 'understand', 'implement', 'steam', 'curricular', 'content', 'throughout', 'discover', 'power', 'art', 'develop', 'student', '’', 'inclination', 'motivation', 'ability', 'think', 'deeply', 'enroll', 'resource', 'need', 'classroom', 'strengthen', 'critical', 'thinking', 'using', 'art', 'immediately', 'available', 'recommend', 'spending', 'hour', 'learning', 'practicing', 'section', 'progressing', 'next', 'online', 'course', 'environment', 'feature', 'video', 'interactive', 'tool', 'participating', 'global', 'network', 'educator', 'like', 'want', 'hone', 'ability', 'teach', 'critical', 'thinking', 'skill', 'explore', 'art', 'integration', 'added', 'bonus', 'course', 'experience', 'education', 'teacher', 'training']"
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems","Learn the multifaceted structures and functions of the cardiovascular, urinary, and respiratory systems.","In this anatomy course, part of the Anatomy XSeries, you will explore the interactive relationships of the cardiovascular, respiratory and urinary systems, and the roles they play in your body.This course is a primer for the cardiovascular, respiratory, and urinary systems in which students learn the pertinent details of the structures and functions through a combination of lectures, videos, labeling activities and quizzes. Biology & Life Sciences","['anatomy', 'cardiovascular', 'urinary', 'respiratory', 'system']","['learn', 'multifaceted', 'structure', 'function', 'cardiovascular', 'urinary', 'respiratory', 'system']","['anatomy', 'course', 'part', 'anatomy', 'xseries', 'explore', 'interactive', 'relationship', 'cardiovascular', 'respiratory', 'urinary', 'system', 'role', 'play', 'bodythis', 'course', 'primer', 'cardiovascular', 'respiratory', 'urinary', 'system', 'student', 'learn', 'pertinent', 'detail', 'structure', 'function', 'combination', 'lecture', 'video', 'labeling', 'activity', 'quiz', 'biology', 'life', 'science']"
Software Engineering: Introduction,"Learn how to apply engineering principles, such as Agile, to build a full-stack software system.","This course, part of the Software Development MicroMasters Program, introduces how teams design, build, and test multi-version software systems.You will learn software engineering principles that are applicable to the breadth of large-scale software systems. The course explores topics such as agile development, REST and Async programming, software specification, design, refactoring, information security, and more.By the end of this course, learners will work in teams, applying an agile software development process to specify, design, and test multiple versions of complex software systems.Learners who enroll in the Verified track will receive staff grading and increased interaction with the instructor and staff. Computer Science","['software', 'engineering', 'introduction']","['learn', 'apply', 'engineering', 'principle', 'agile', 'build', 'fullstack', 'software', 'system']","['course', 'part', 'software', 'development', 'micromasters', 'program', 'introduces', 'team', 'design', 'build', 'test', 'multiversion', 'software', 'systemsyou', 'learn', 'software', 'engineering', 'principle', 'applicable', 'breadth', 'largescale', 'software', 'system', 'course', 'explores', 'topic', 'agile', 'development', 'rest', 'async', 'programming', 'software', 'specification', 'design', 'refactoring', 'information', 'security', 'moreby', 'end', 'course', 'learner', 'work', 'team', 'applying', 'agile', 'software', 'development', 'process', 'specify', 'design', 'test', 'multiple', 'version', 'complex', 'software', 'systemslearners', 'enroll', 'verified', 'track', 'receive', 'staff', 'grading', 'increased', 'interaction', 'instructor', 'staff', 'computer', 'science']"
Structure of Materials,Discover the structure of the materials that make up our modern world and learn how this underlying structure influences the properties and performance of these materials.,"Structure determines so much about a material: its properties, its potential applications, and its performance within those applications. This course from MIT’s Department of Materials Science and Engineering explores the structure of a wide variety of materials with current-day engineering applications. The course begins with an introduction to amorphous materials. We explore glasses and polymers, learn about the factors that influence their structure, and learn how materials scientists measure and describe the structure of these materials. Then we begin a discussion of the crystalline state, exploring what it means for a material to be crystalline, how we describe directions in a crystal, and how we can determine the structure of crystal through x-ray diffraction. We explore the underlying crystalline structures that underpin so many of the materials that surround us. Finally, we look at how tensors can be used to represent the properties of three-dimensional materials, and we consider how symmetry places constraints on the properties of materials. We move on to an exploration of quasi-, plastic, and liquid crystals. Then, we learn about the point defects that are present in all crystals, and we will learn how the presence of these defects lead to diffusion in materials. Next, we will explore dislocations in materials. We will introduce the descriptors that we use to describe dislocations, we will learn about dislocation motion, and will consider how dislocations dramatically affect the strength of materials. Finally, we will explore how defects can be used to strengthen materials, and we will learn about the properties of higher-order defects such as stacking faults and grain boundaries. Engineering","['structure', 'material']","['discover', 'structure', 'material', 'make', 'modern', 'world', 'learn', 'underlying', 'structure', 'influence', 'property', 'performance', 'material']","['structure', 'determines', 'much', 'material', 'property', 'potential', 'application', 'performance', 'within', 'application', 'course', 'mit', '’', 'department', 'material', 'science', 'engineering', 'explores', 'structure', 'wide', 'variety', 'material', 'currentday', 'engineering', 'application', 'course', 'begin', 'introduction', 'amorphous', 'material', 'explore', 'glass', 'polymer', 'learn', 'factor', 'influence', 'structure', 'learn', 'material', 'scientist', 'measure', 'describe', 'structure', 'material', 'begin', 'discussion', 'crystalline', 'state', 'exploring', 'mean', 'material', 'crystalline', 'describe', 'direction', 'crystal', 'determine', 'structure', 'crystal', 'xray', 'diffraction', 'explore', 'underlying', 'crystalline', 'structure', 'underpin', 'many', 'material', 'surround', 'u', 'finally', 'look', 'tensor', 'used', 'represent', 'property', 'threedimensional', 'material', 'consider', 'symmetry', 'place', 'constraint', 'property', 'material', 'move', 'exploration', 'quasi', 'plastic', 'liquid', 'crystal', 'learn', 'point', 'defect', 'present', 'crystal', 'learn', 'presence', 'defect', 'lead', 'diffusion', 'material', 'next', 'explore', 'dislocation', 'material', 'introduce', 'descriptor', 'use', 'describe', 'dislocation', 'learn', 'dislocation', 'motion', 'consider', 'dislocation', 'dramatically', 'affect', 'strength', 'material', 'finally', 'explore', 'defect', 'used', 'strengthen', 'material', 'learn', 'property', 'higherorder', 'defect', 'stacking', 'fault', 'grain', 'boundary', 'engineering']"
Computer Hardware and Operating Systems,This is a self-paced course from NYU that provides an Introduction to Computer Hardware and Operating Systems,This is a self-paced course that provides an Introduction to Computer Hardware and Operating SystemsThis course will cover topics including:By the end of this course students should be able to:  Computer Science,"['computer', 'hardware', 'operating', 'system']","['selfpaced', 'course', 'nyu', 'provides', 'introduction', 'computer', 'hardware', 'operating', 'system']","['selfpaced', 'course', 'provides', 'introduction', 'computer', 'hardware', 'operating', 'systemsthis', 'course', 'cover', 'topic', 'includingby', 'end', 'course', 'student', 'able', 'computer', 'science']"
Marketing Management,"Learn key marketing strategies and tactics to help your company develop products that match customers' needs, create awareness and demand for those products, and drive sales.","Mark Cuban, owner of the Dallas Mavericks, puts it bluntly: “No sales. No company.” Every organization needs effective marketing to match its products, services and experiences to customers, and maintain and grow its revenue. In this course you will learn the keys to successful marketing, from using traditional and digital media channels to build brand awareness, to using consumer and behavioral research in order to better match your product to your customers’ wants and needs. In this course, you'll learn to: By the end of this class, you will understand how to assess the competitive playing field, understand your competitor’s brand position, and map your own organization’s position, strengths, and weaknesses, to create or capture competitive advantages. Business & Management","['marketing', 'management']","['learn', 'key', 'marketing', 'strategy', 'tactic', 'help', 'company', 'develop', 'product', 'match', 'customer', 'need', 'create', 'awareness', 'demand', 'product', 'drive', 'sale']","['mark', 'cuban', 'owner', 'dallas', 'maverick', 'put', 'bluntly', '“', 'sale', 'company', '”', 'every', 'organization', 'need', 'effective', 'marketing', 'match', 'product', 'service', 'experience', 'customer', 'maintain', 'grow', 'revenue', 'course', 'learn', 'key', 'successful', 'marketing', 'using', 'traditional', 'digital', 'medium', 'channel', 'build', 'brand', 'awareness', 'using', 'consumer', 'behavioral', 'research', 'order', 'better', 'match', 'product', 'customer', '’', 'want', 'need', 'course', 'youll', 'learn', 'end', 'class', 'understand', 'assess', 'competitive', 'playing', 'field', 'understand', 'competitor', '’', 'brand', 'position', 'map', 'organization', '’', 'position', 'strength', 'weakness', 'create', 'capture', 'competitive', 'advantage', 'business', 'management']"
You Can Innovate: User  Innovation & Entrepreneurship,"Identify a problem, develop a solution, and bootstrap your entrepreneurial venture.","We'll let you in on a secret. Innovation happens everywhere. More often than not, it is about ordinary people solving real problems. Imagine, this could be you. This course will teach you to look at the world through the lens of problem discovery and problem solving. You will explore problems that you see in your life and in the world and evaluate their potential for entrepreneurial innovation. You will iterate toward solutions that are just right. As you do that, you will become a user innovator.Examples of user innovation and its entrepreneurial potential are infinite. A surfer created the GoPro to take ""selfies"" while surfing. A student came up with Dropbox after losing the flash drive. Two entrepreneurs created a tool for themselves to track software bugs, giving rise to Atlassian.Taught by Eric von Hippel, the founding scholar of user innovation, and Erdin Beshimov, the founder of MIT Bootcamps, this course will guide you through a step-by-step process for ideating a user innovation and shaping its entrepreneurial possibilities. Importantly, through immersive case studies, this course will introduce you to effective strategies of entrepreneurial bootstrapping, so that you can succeed even when you do not have many resources. We invite to the course, anyone with dreams of making a positive impact on society. The course should be timely and specifically beneficial for:You can innovate!You Can Innovate is a course from MIT Bootcamps and as such prepares you for participation in the program. The Bootcamp is a highly selective, intensive, global MIT training program for innovators. You will learn from MIT faculty and you will be intensively coached by experienced MIT-trained entrepreneurs. In the process, you will be challenged to generate an impactful entrepreneurial innovation in one week. Learn about and apply to one of the upcoming bootcamps at https://bootcamp.mit.edu. Business & Management","['innovate', 'user', 'innovation', 'entrepreneurship']","['identify', 'problem', 'develop', 'solution', 'bootstrap', 'entrepreneurial', 'venture']","['well', 'let', 'secret', 'innovation', 'happens', 'everywhere', 'often', 'ordinary', 'people', 'solving', 'real', 'problem', 'imagine', 'could', 'course', 'teach', 'look', 'world', 'lens', 'problem', 'discovery', 'problem', 'solving', 'explore', 'problem', 'see', 'life', 'world', 'evaluate', 'potential', 'entrepreneurial', 'innovation', 'iterate', 'toward', 'solution', 'right', 'become', 'user', 'innovatorexamples', 'user', 'innovation', 'entrepreneurial', 'potential', 'infinite', 'surfer', 'created', 'gopro', 'take', 'selfies', 'surfing', 'student', 'came', 'dropbox', 'losing', 'flash', 'drive', 'two', 'entrepreneur', 'created', 'tool', 'track', 'software', 'bug', 'giving', 'rise', 'atlassiantaught', 'eric', 'von', 'hippel', 'founding', 'scholar', 'user', 'innovation', 'erdin', 'beshimov', 'founder', 'mit', 'bootcamps', 'course', 'guide', 'stepbystep', 'process', 'ideating', 'user', 'innovation', 'shaping', 'entrepreneurial', 'possibility', 'importantly', 'immersive', 'case', 'study', 'course', 'introduce', 'effective', 'strategy', 'entrepreneurial', 'bootstrapping', 'succeed', 'even', 'many', 'resource', 'invite', 'course', 'anyone', 'dream', 'making', 'positive', 'impact', 'society', 'course', 'timely', 'specifically', 'beneficial', 'foryou', 'innovateyou', 'innovate', 'course', 'mit', 'bootcamps', 'prepares', 'participation', 'program', 'bootcamp', 'highly', 'selective', 'intensive', 'global', 'mit', 'training', 'program', 'innovator', 'learn', 'mit', 'faculty', 'intensively', 'coached', 'experienced', 'mittrained', 'entrepreneur', 'process', 'challenged', 'generate', 'impactful', 'entrepreneurial', 'innovation', 'one', 'week', 'learn', 'apply', 'one', 'upcoming', 'bootcamps', 'httpsbootcampmitedu', 'business', 'management']"
Analytics in Python,Learn the fundamental of programming in Python and develop the ability to analyze data and make data-driven decisions.,"Data is the lifeblood of an organization. Competency in programming is an essential skill for successfully extracting information and knowledge from data.The goal of this course is to introduce learners to the basics of programming in Python and to give a working knowledge of how to use programs to deal with data.In this course, we will first cover the basics of programming and then focus on using Python on the entire data management process from data acquisition to analysis of data big data and small data.This is an intensive hands-on course that will equip and reward learners with proficiency in data management skills. Business & Management","['analytics', 'python']","['learn', 'fundamental', 'programming', 'python', 'develop', 'ability', 'analyze', 'data', 'make', 'datadriven', 'decision']","['data', 'lifeblood', 'organization', 'competency', 'programming', 'essential', 'skill', 'successfully', 'extracting', 'information', 'knowledge', 'datathe', 'goal', 'course', 'introduce', 'learner', 'basic', 'programming', 'python', 'give', 'working', 'knowledge', 'use', 'program', 'deal', 'datain', 'course', 'first', 'cover', 'basic', 'programming', 'focus', 'using', 'python', 'entire', 'data', 'management', 'process', 'data', 'acquisition', 'analysis', 'data', 'big', 'data', 'small', 'datathis', 'intensive', 'handson', 'course', 'equip', 'reward', 'learner', 'proficiency', 'data', 'management', 'skill', 'business', 'management']"
